SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
Telangana,1927,9.6,11,4.6,2,14.3,248.3,266,158.5,142.4,59.9,89,0,1005.5
Telangana,1928,0,15.8,47.3,4.5,27.9,143.9,248.6,191.6,215.2,104.1,0,7.4,1006.4
Telangana,1929,5.3,64.8,0,21.7,2.8,146,115,142.2,232.5,35.9,0,24.5,790.5
Telangana,1930,0,14.7,5.4,13.5,1.7,184.9,131.1,144.7,215.6,60,64.3,0,835.8
Telangana,1931,0.3,5.1,4,13.3,25.9,187.3,368.6,155.9,288.1,107.4,25.5,1.6,1183.1
Telangana,1932,0,40.3,1.3,17.6,25.8,119.7,300.4,179,172.9,32,60.9,0,949.9
Telangana,1933,12.9,17.4,15.7,25,63.4,332,243.4,226.7,262.2,128.9,24,44.5,1396.3
Telangana,1934,0.1,0,0.1,18.3,1.2,111.7,296.9,280.2,162.3,15.2,42,0,927.9
Telangana,1935,16.2,3.4,1.4,42.2,2.7,115.1,309.7,162.9,198.3,43.5,2.6,0.5,898.5
Telangana,1936,2.5,79.1,15.3,8.4,73.7,200,268.9,220.9,128.4,96.4,48.2,15.1,1157
Telangana,1937,0,33.2,28.6,105.6,3,77.8,285.8,102.4,153.6,72.1,0.9,3,866.1
Telangana,1938,0,41.3,14.2,16.6,27.8,226.3,331.6,256.5,201.9,59.2,0,0,1175.3
Telangana,1939,0,0,22,16.7,3,73.5,173.2,202.5,107.1,130.3,11.8,0,740
Telangana,1940,0,0.5,11.4,33.6,91.4,128.5,345.8,281.5,94.7,64.9,22.2,8.1,1082.6
Telangana,1941,16.6,3.3,4.8,4.8,17.5,121.4,87.9,149.9,137.5,49.6,0.7,0.4,594.4
Telangana,1942,0,23,0.2,31.7,30.9,160,250.1,277.3,107.4,20.9,3.9,1.6,906.9
Telangana,1943,15.2,0.6,1.7,34.4,26.9,180.4,179.3,133.4,262.2,62.7,2.6,0,899.3
Telangana,1944,0,13.7,82.3,5.4,15.7,114.5,224.1,142.4,207.7,131.9,22.7,0,960.5
Telangana,1945,4.3,0,0,39,11.2,144.5,332.1,238.4,159.1,94.1,4.8,0,1027.4
Telangana,1946,0,15.9,5.2,21.7,14.5,152.1,287.2,149.5,85,30.7,57.5,3.6,822.8
Telangana,1947,13.4,18,3.3,1.8,10.8,59.9,273.3,315.5,248.3,35.3,16.2,9.7,1005.5
Telangana,1948,3.7,4.6,5.1,20,15,71.4,239.3,165.4,242.5,25,123,0,915
Telangana,1949,0.5,0,2.4,13.8,67.9,152,335.5,173.6,198.1,94.6,0.2,0,1038.6
Telangana,1950,0,34.7,14.2,0.2,11.6,78.4,222.7,118.5,254.1,21.8,4.7,0.5,761.3
Telangana,1951,0,0,56.1,20.1,31.1,116.8,356,151.7,103.9,64.4,0.7,0,900.8
Telangana,1952,0.5,16.4,0.8,12.4,32.5,80.1,205.1,148.9,137.7,88.3,0.2,6.9,729.7
Telangana,1953,5.1,0,3,26.8,0.7,224,200.9,364.5,269.5,175.8,1.7,0,1272.1
Telangana,1954,0,0,13.2,4.3,14.4,105.3,300.4,192.5,252.9,44.2,0,1.2,928.4
Telangana,1955,1,0,2.9,9.8,27.8,230.3,259.9,300.1,249.7,116.2,5.5,0,1203.2
Telangana,1956,0.7,1.5,1.9,5.9,52.9,220.1,393.8,133.3,156.9,94.5,59.1,0,1120.5
Telangana,1957,0,7.7,23.7,33.4,18.6,157.9,206.9,358.5,100.9,75.6,0,0,983.2
Telangana,1958,2.1,4.9,10,24.7,14.1,72.9,407.5,351.7,135.2,69.8,20.9,0,1113.9
Telangana,1959,1,0.4,0,4,16.3,163.7,403.2,348.3,212.8,68.6,4.2,1.7,1224.1
Telangana,1960,0.7,0,32.9,4.1,21.9,223.9,203.6,82.1,197.5,59.4,12,1.4,839.5
Telangana,1961,0.8,6.1,2.7,11.8,46.1,142.2,368.3,209.2,144.5,188.3,26.4,0.2,1146.5
Telangana,1962,0.2,25.1,2.1,47,20.3,84.5,270.5,264.1,289.6,62.5,38.6,34.2,1138.7
Telangana,1963,0,0.3,4,35.5,9,179.5,214.7,372.7,103.3,91.2,0,0,1010.1
Telangana,1964,0,0.2,5.5,2.1,0.7,109.1,186.3,232.3,302.4,41.7,7.2,0,887.5
Telangana,1965,2.7,0.8,4.4,6.8,2.7,124.3,318.6,152.2,166.2,0.1,0,0,778.9
Telangana,1966,19.8,0,2.6,7.9,2.7,67.2,294,216.3,254.4,39.5,34.9,31.7,970.9
Telangana,1967,0.3,0,62.7,8.5,1.1,166.7,320.8,183.7,139.4,5.6,0.2,53.1,942.1
Telangana,1968,16.5,15,35.1,16,7.4,87.6,188.6,52.3,231.4,82.7,15.8,0.1,748.7
Telangana,1969,2.2,0,1.4,9.6,53.3,103.2,265.5,186.4,278.8,56.1,64.4,26.2,1047.1
Telangana,1970,6.9,0.7,4.5,22.5,45.8,205.5,135.6,345.8,176.1,26.8,0,0,970.3
Telangana,1971,7.3,7.5,6.3,6.9,37.8,139.9,114.1,144.3,97.2,167.9,0,0,729.1
Telangana,1972,0,14.6,0.1,12.7,12.2,162.8,183.9,93.9,71.3,64.8,49.7,4.8,670.7
Telangana,1973,0,0,1.7,5.5,6.4,110.5,239.4,367,83.5,223,5.3,0.1,1042.5
Telangana,1974,0,0,1.8,7,32.9,111.1,113.1,171.9,124.8,261.6,6,0,830.4
Telangana,1975,12.9,10.5,7.7,3,21.8,138.8,269.4,194,347,204.9,5.7,0,1215.8
Telangana,1976,0.2,0,1,25.6,10.7,85.7,471.7,277.3,123.4,5.6,34.5,0,1035.6
Telangana,1977,0,0,2.4,8,42.3,97.4,253.1,240,70.9,51,36.7,6.7,808.6
Telangana,1978,30.7,19.1,5.9,20.6,23,261.6,376.5,376.7,116,50.1,31.6,0,1311.7
Telangana,1979,9.8,22.8,1.2,12.6,48.7,145.9,156.4,131.8,200,15.7,39.5,7.3,791.7
Telangana,1980,0,0,5.3,15.5,8.3,219.6,210.1,294.5,145.6,5,2.4,16.2,922.6
Telangana,1981,10.3,0,26.2,11.7,40.1,187.2,227.5,310.2,285.2,42.5,0.8,2.1,1143.5
Telangana,1982,5.7,0,4.2,22.2,37.1,123.8,265.6,184.1,174.4,100.8,15.3,0,933.2
Telangana,1983,0,4.2,1.7,3.9,38.4,158.8,301.5,416.8,378.2,185.4,1,7.5,1497.5
Telangana,1984,7.3,8.1,4.7,11.4,3.5,104.9,277.8,119.8,111.8,91.1,2.2,0,742.8
Telangana,1985,5.7,0,4.7,15.5,13.6,181.4,223.8,160.8,70,108,0,2.3,785.9
Telangana,1986,29.4,60.3,1.9,21.5,9.1,115.5,234.9,406.8,65.6,24.6,20.4,17.3,1007.3
Telangana,1987,15.3,1,18.4,9.5,30.5,133.1,275,221.6,60.1,94.7,116,1.8,976.9
Telangana,1988,0,6.5,1.1,26.6,3.4,135.8,656.2,341.7,313.4,50.5,2.4,7.2,1544.9
Telangana,1989,0,0,39.2,1.9,4.9,238.5,406,277.7,165.4,17.4,1.4,8.6,1161
Telangana,1990,4.2,4.1,35.2,1,159.8,245.1,180.2,471.1,132.1,180.2,12.4,0.1,1425.7
Telangana,1991,21.7,4.1,8.9,21.6,34.4,194.5,268.8,122,100.8,29.4,36.8,6,849.1
Telangana,1992,4.8,0,2.5,10.7,20.6,180.5,180.5,271.8,99,47,46.1,0,863.5
Telangana,1993,4.9,2,12.9,13.1,29.4,83.9,291.8,146.4,187,100.9,0.1,13.2,885.6
Telangana,1994,8.6,12.5,0,21.5,20.4,115.3,308.2,256.3,53.9,143,36.2,0,975.7
Telangana,1995,98.7,0.5,22,16,35.6,135.4,282.1,209.2,141.1,332.7,12.6,0,1286
Telangana,1996,0,7.9,4.7,31.1,13.6,115.9,264.1,295.9,160.2,72.4,13.2,7.8,986.8
Telangana,1997,22.6,0.9,20.2,43.4,21.3,85.5,156.7,154.5,169.1,87.9,46.9,46.9,856
Telangana,1998,5.2,22.2,15.2,15.5,27.9,149.4,264,290.5,209.3,79.4,14.5,0,1093
Telangana,1999,0,9.3,4.6,1.7,74.8,141.6,205.2,190.9,177.6,55.7,2.2,0,863.8
Telangana,2000,0.6,16.8,1,16.3,48.8,253.2,220.9,420.5,70.7,20.2,6.4,2.5,1078
Telangana,2001,8.5,0,21.5,37.3,7.5,183.9,123.8,266.8,119.9,135.6,17.4,0,922.3
Telangana,2002,18.8,10.1,7.6,7.7,32,143.2,91.7,321.7,52.4,76.2,3.9,0,765.3
Telangana,2003,0,10.7,21.9,14,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2
Telangana,2004,34.4,17.9,9.3,25.9,34.6,64.6,216.7,117.7,110.1,30.6,5.3,0,667
Telangana,2005,43.4,14.1,14.6,23.8,19.7,115.1,400.3,126.9,246.3,136.1,3.9,18.8,1163.1
Telangana,2006,0,0,42.7,38.6,46.1,104.8,169.5,308.2,280.2,28.1,34.7,0,1053
Telangana,2007,0,0,0.1,0.1,9.2,176.6,134.6,206.6,262.3,40.8,13,0,843.3
Telangana,2008,0.2,18.6,108.6,15.7,4.9,132.9,183.4,391.8,146.7,24.2,7.5,0.8,1035.3
Telangana,2009,0,0,2.1,4.5,13.1,85.8,118.4,192.3,149.7,69.5,29.6,1.2,666.3
Telangana,2010,10.3,5.3,1.5,5.6,24.9,127,395.5,308.1,249.8,98.7,40.5,9.3,1276.4
Telangana,2011,0,11.9,2.6,25.6,9.3,83.9,268.2,225.9,107.6,13.9,4.2,0,753.1
Telangana,2012,6.7,0,0.2,14,8.4,124.4,300.3,229.9,202.4,83.6,38.7,0,1008.6
Telangana,2013,2.4,29,0.2,24.4,8.5,213.4,453.8,230.6,161.4,205.9,16.4,2.7,1348.7
Telangana,2014,0.2,2.9,58.3,10.3,73.3,62.3,146,205.2,146.8,29.6,10.8,0.7,746.4
Telangana,2015,17.5,0,43,65.7,23.3,266.9,104.4,160.5,158.3,15.6,0.3,1.7,857.3
Telangana,2016,1.2,0.2,11.5,4.3,55.1,194,235.8,133.7,336.3,70.4,0.5,0.4,1043.4
Telangana,2017,0,0,8.7,3.2,22.4,202.2,143.2,204.2,115.3,114.6,1.9,0,815.7
